"CNTRYNAMEE","DHSREGEN","extreme_poverty_rate","left_behind"
"Benin","Oueme",0.387625005446374,1
"Benin","Plateau",0.598143107934061,1
"Benin","Zou",0.611016210490692,1
"Namibia","Zambezi",0.379290325943761,0
"Namibia","Erongo",0.00800926492645739,0
"Namibia","Hardap",0.0476498387160004,0
"Namibia","//Karas",0.0511511191197496,0
"Namibia","Kavango",0.500309831615883,1
"Namibia","Khomas",0.0053372175719219,0
"Namibia","Kunene",0.195701460929173,0
"Namibia","Ohangwena",0.453305918257888,1
"Namibia","Omaheke",0.103605274389433,0
"Namibia","Omusati",0.256736370849913,0
"Namibia","Oshana",0.1209725770653,0
"Namibia","Oshikoto",0.288170520116434,0
"Namibia","Otjozondjupa",0.0561470481347208,0
"Zambia","Central",0.685989888976577,1
"Zambia","Copperbelt",0.281259595956108,1
"Zambia","Eastern",0.810691033025436,1
"Zambia","Luapula",0.881749422544324,1
"Zambia","Lusaka",0.109276436313845,0
"Zambia","Muchinga",0.831327456990013,1
"Zambia","North Western",0.806979940448632,1
"Zambia","Northern",0.870692229602371,1
"Zambia","Southern",0.676705219886737,1
"Zambia","Western",0.874210647558724,1
"Kenya","Central",0.168533516023861,0
"Kenya","Coast",0.466660407732948,1
"Kenya","Eastern",0.465012238730937,1
"Kenya","Nairobi",0.0182393034479363,0
"Kenya","North Eastern",0.70188008714685,1
"Kenya","Nyanza",0.389947155352849,0
"Kenya","Rift Valley",0.393366151059305,0
"Kenya","Western",0.412571295017003,0
"Ghana","Upper East",0.603936645806673,1
"Ghana","Western",0.093200497051757,0
"Ghana","Upper West",0.493672832547905,1
"Ghana","Northern",0.397232745719586,0
"Ghana","Brong Ahafo",0.133898666615555,0
"Ghana","Volta",0.0675536984005187,0
"Ghana","Central",0.0877416024896064,0
"Ghana","Greater Accra",0.00444302531916699,0
"Ghana","Ashanti",0.0442759980052339,0
"Ghana","Eastern",0.117819462473436,0
"Lesotho","Butha-Buthe",0.704604014045144,1
"Lesotho","Mafeteng",0.5130438776062,1
"Lesotho","Leribe",0.535024114470909,1
"Lesotho","Mokhotlong",0.856629767852939,1
"Lesotho","Thaba-Tseka",0.893943905182579,1
"Lesotho","Maseru",0.314139644026774,0
"Lesotho","Berea",0.469987879713153,1
"Lesotho","Mohale's Hoek",0.734647730008239,1
"Lesotho","Qacha's Nek",0.74908834854691,1
"Lesotho","Quthing",0.712030493187759,1
"Egypt","Frontier Governorates",0.0169293659092839,0
"Egypt","Lower Egypt",0.0221642851196004,0
"Egypt","Upper Egypt",0.0297918302144835,0
"Egypt","Urban Governorates",0.001340450334737,0
"Rwanda","City of Kigali",0.162828224739885,0
"Rwanda","South",0.661916000831069,1
"Rwanda","West",0.699223311479123,1
"Rwanda","North",0.647508627812047,1
"Rwanda","East",0.614717754847173,1
"Zimbabwe","Manicaland",0.148273297979479,0
"Zimbabwe","Mashonaland Central",0.237205454600654,1
"Zimbabwe","Mashonaland East",0.101539761615205,0
"Zimbabwe","Mashonaland West",0.183028573248254,0
"Zimbabwe","Matabeleland North",0.378200293085326,1
"Zimbabwe","Matabeleland South",0.143061450034421,0
"Zimbabwe","Midlands",0.200403053534386,1
"Zimbabwe","Masvingo",0.265179812081452,1
"Zimbabwe","Harare Chitungwiza",0,0
"Zimbabwe","Bulawayo",0,0
"Tanzania","Dodoma",0.630521126292724,1
"Tanzania","Arusha",0.370622207254589,0
"Tanzania","Kilimanjaro",0.139061572133976,0
"Tanzania","Tanga",0.399899751273498,0
"Tanzania","Morogoro",0.465216759825442,1
"Tanzania","Pwani",0.438701979886728,0
"Tanzania","Dar es Salaam",0.00268499293388264,0
"Tanzania","Lindi",0.599931241161161,1
"Tanzania","Mtwara",0.629406195614438,1
"Tanzania","Ruvuma",0.480410661234027,1
"Tanzania","Iringa",0.36720874057135,0
"Tanzania","Mbeya",0.448374394691826,0
"Tanzania","Singida",0.683002171286962,1
"Tanzania","Tabora",0.688387610409031,1
"Tanzania","Rukwa",0.554500434120101,1
"Tanzania","Kigoma",0.656539155350189,1
"Tanzania","Shinyanga",0.570329894295459,1
"Tanzania","Kagera",0.616629197891757,1
"Tanzania","Mwanza",0.459783779475556,1
"Tanzania","Mara",0.461598159940329,1
"Tanzania","Manyara",0.674539627960654,1
"Tanzania","Njombe",0.378624014233683,0
"Tanzania","Katavi",0.513520444141932,1
"Tanzania","Simiyu",0.724980867340358,1
"Tanzania","Geita",0.578782854613093,1
"Tanzania","Kaskazini Unguja",0.123859832885815,0
"Tanzania","Kusini Unguja",0.113941214999318,0
"Tanzania","Mjini Magharibi",0.010186179507843,0
"Tanzania","Kaskazini Pemba",0.255066031006402,0
"Tanzania","Kusini Pemba",0.220925605768079,0
"Malawi","Northern",0.497922011116737,1
"Malawi","Central",0.745148282875659,1
"Malawi","Southern",0.719849756678567,1
"Angola","Bié             ",0.552919668204374,1
"Angola","Cunene          ",0.690940585123693,1
"Angola","Huambo          ",0.38330041093238,0
"Angola","Huíla           ",0.560786062538001,1
"Angola","Cuando Cubango  ",0.37374606150279,0
"Angola","Cuanza Norte    ",0.239776128439685,0
"Angola","Cuanza Sul      ",0.528195610761389,1
"Angola","Luanda          ",0.0021640151227072,0
"Angola","Lunda Norte     ",0.366651830709119,0
"Angola","Lunda Sul       ",0.21188229398689,0
"Angola","Moxico          ",0.429064832873914,0
"Angola","Namibe          ",0.276675072579679,0
"Angola","Uíge            ",0.404895249436112,0
"Angola","Zaire           ",0.111296103437526,0
"Angola","Bengo           ",0.260641751977817,0
"Angola","Malanje         ",0.277316931589721,0
"Angola","Cabinda         ",0.0174327688338052,0
"Angola","Benguela        ",0.353069512936557,0
"Ethiopia","Tigray",0.382369196365502,0
"Ethiopia","Affar",0.668889167360816,1
"Ethiopia","Amhara",0.263937761431646,0
"Ethiopia","Oromiya",0.280112753373334,0
"Ethiopia","Somali",0.689844487240832,1
"Ethiopia","Ben-Gumz",0.424590887664185,0
"Ethiopia","SNNP",0.29988508788146,0
"Ethiopia","Gambela",0.526371507759193,1
"Ethiopia","Harari",0.134609845157359,0
"Ethiopia","Addis Abeba",0,0
"Ethiopia","Dire Dawa",0.206625454090331,1
"Senegal","Center",0.544310556443618,1
"Senegal","North",0.536780595053898,1
"Senegal","South",0.684645658820934,1
"Senegal","West",0.0804836008776554,0
"Uganda","Acholi",0.738664882034531,1
"Uganda","Ankole",0.236116009008246,0
"Uganda","Bugishu",0.44403755955772,0
"Uganda","Bukedi",0.4629154515025,1
"Uganda","Bunyoro",0.454354618669639,1
"Uganda","Busoga",0.290563985145824,0
"Uganda","Central 1",0.103103525816122,0
"Uganda","Central 2",0.188656077413984,0
"Uganda","Kampala",0.00152572045416758,0
"Uganda","Karamoja",0.884340463164666,1
"Uganda","Kigezi",0.218911316353491,0
"Uganda","Lango",0.691701611216056,1
"Uganda","Teso",0.639006084962783,1
"Uganda","Tooro",0.269066421267144,0
"Uganda","West Nile",0.708000947204454,1
"Burundi","Bubanza ",0.75148234794663,1
"Burundi","Bujumbura Rural",0.602431308217926,1
"Burundi","Bujumbura Mairie ",0.0445090805870644,0
"Burundi","Bururi ",0.573751179534919,1
"Burundi","Cankuzo ",0.816245622904546,1
"Burundi","Cibitoke ",0.699089955467126,1
"Burundi","Gitega ",0.785021011063314,1
"Burundi","Karusi ",0.913469423041418,1
"Burundi","Kayanza ",0.818923544409181,1
"Burundi","Kirundo ",0.879568401627672,1
"Burundi","Makamba ",0.615331268406034,1
"Burundi","Muramvya ",0.787793228783845,1
"Burundi","Muyinga ",0.869748946168717,1
"Burundi","Mwaro ",0.7374846051674,1
"Burundi","Ngozi ",0.848235978346679,1
"Burundi","Rumonge ",0.588799311980034,1
"Burundi","Rutana ",0.691456851597939,1
"Burundi","Ruyigi ",0.83449018073299,1
