"cluster","P20HC","ExtremeHC","NP20HC","weights"
1,0,0,0,3.583321
2,0,0,0,2.047612
3,0,0,0,4.095224
4,0,0,0,4.607127
5,0,0,0,4.095224
6,0,0,0,5.630933
7,0,0,0,5.630933
8,0,0,0,5.11903
9,0,0,0,5.630933
10,0,0,0,5.11903
11,0,0,0,5.11903
12,0,0,0,4.607127
13,0,0,0.0909090909090909,5.630933
14,0,0,0,4.607127
15,0,0,0,5.11903
16,0.0909090909090909,0,0.454545454545455,5.630933
17,0,0,0.3,5.11903
18,0,0,0,6.142836
19,0.142857142857143,0,0.571428571428572,3.583321
20,0,0,0,5.11903
21,0,0,0,3.583321
22,0.375,0,0.75,4.095224
23,0,0,0,3.583321
24,0,0,1,3.071418
25,0,0,0,5.11903
26,0.1,0,0.7,5.11903
27,0,0,0,4.116497
28,0,0,0,3.368043
29,0,0,0.153846153846154,4.864951
30,0,0,0,2.619589
31,0,0,0,4.490724
32,0,0,0,3.74227
33,0,0,0.444444444444444,3.368043
34,0,0,0,4.116497
35,0,0,0.0769230769230769,4.864951
36,0,0,0,3.74227
37,0,0,0,3.74227
38,0,0,0,2.245362
39,0,0,0.444444444444444,3.368043
40,0,0,0.1,3.74227
41,0,0,0,5.293064
42,0,0,0.727272727272727,4.556222
43,0,0,0.444444444444444,3.727818
44,0,0,0.4,4.14202
45,1,0,1,3.313616
46,0.5,0,0.833333333333333,2.485212
47,0,0,0,1.651256
48,0,0,0.111111111111111,1.857663
49,0,0,0,1.032035
50,0,0,0.0769230769230769,2.683291
51,0,0,0.1,2.06407
52,0,0,0.1,2.06407
53,0,0,0.125,1.651256
54,0,0,0,4.284549
55,0,0,0,4.284549
56,0,0,0.111111111111111,4.284549
57,0,0,0.416666666666667,5.712732
58,0,0,0.222222222222222,4.284549
59,0,0,0.555555555555555,4.284549
60,0,0,0.111111111111111,4.284549
61,0,0,0,3.808488
62,0,0,0,5.236671
63,0,0,0,4.284549
64,0,0,0,4.284549
65,0,0,0.125,3.808488
66,0.333333333333333,0,0.888888888888889,5.359878
67,0,0,0.125,4.764336
68,0.428571428571429,0,1,4.168794
69,0.111111111111111,0,0.444444444444444,5.359878
70,0,0,0.6,5.95542
71,0.1,0,0.5,3.59799
72,0.125,0,0.875,2.878392
73,0.444444444444444,0,1,3.238191
74,0,0,0.666666666666667,3.238191
75,0,0,0.625,2.878392
76,0.222222222222222,0,1,3.238191
77,0,0,0.777777777777778,3.238191
78,0.25,0,0.75,2.230148
79,0.5,0,0.833333333333333,3.345222
80,1,0,1,4.460296
81,1,0.111111111111111,1,5.017833
82,1,0.125,1,4.460296
87,1,0.285714285714286,1,3.902759
88,1,0,1,3.345222
89,0.9,0,1,5.57537
90,1,0,1,3.345222
91,1,0.1,1,5.57537
92,1,0.222222222222222,1,5.017833
93,1,0.333333333333333,1,1.672611
94,1,0,1,5.57537
95,1,0.166666666666667,1,3.345222
96,1,0.166666666666667,1,3.345222
97,1,0,1,5.017833
98,0.888888888888889,0,0.888888888888889,3.588948
99,1,0,1,3.588948
100,1,0.142857142857143,1,2.791404
101,1,0,1,3.190176
102,1,0,1,2.791404
103,1,0,1,2.392632
104,1,0.1,1,3.98772
105,0.1,0,0.1,7.65846
106,0,0,0.444444444444444,6.892614
107,0,0,0.142857142857143,5.360922
108,0,0,0.625,6.126768
109,0,0,0.5,6.126768
110,0.714285714285714,0,1,5.360922
111,0.5,0,1,7.65846
112,0.7,0,1,7.65846
113,0.363636363636364,0,1,8.424306
114,0.416666666666667,0,0.833333333333333,9.190152
115,0.1,0,0.4,3.20008
