"OBJECTID","DHSCC","P20HC.0","ExtremeHC.0","NP20HC.0","RequestYear.0","P20HC.1","ExtremeHC.1","NP20HC.1","RequestYear.1","P20growthrate","ext.growthrate","NP20growthrate"
237,"BF",0.717110296439221,0.83385805091618,0.202916086003425,1999,0.859978871452098,0.626708403804843,0.211184122913282,2013,0.0142305838667741,-0.0177445110098036,0.00291043493210221
238,"BF",0.691406008405545,0.826659476489667,0.189533392601174,1999,0.555078557442508,0.29198770323373,0.057596543004316,2013,-0.0140838739472983,-0.0461989997489977,-0.0497224291516822
239,"BF",0.16592487332209,0.212897237832842,0.0283760681212026,1999,0.0669386507841365,0.025938289634669,0.00889451959310333,2013,-0.0426123240321641,-0.0627260866393624,-0.0490391824066267
240,"BF",0.553498684259572,0.80068465549829,0.171261049355835,1999,0.751168841307751,0.447042441766526,0.139507733267995,2013,0.0255091788536057,-0.0315481980955128,-0.013243490068555
241,"BF",0.863026110495166,0.901047499593538,0.220450341191015,1999,0.824389985210487,0.558986847863387,0.257760626662419,2013,-0.00319772855196296,-0.0271161106445914,0.012088982835846
242,"BF",0.704878704580332,0.816830176238827,0.229084268398012,1999,0.743998115382715,0.454041153127537,0.135760239749553,2013,0.00396414817270617,-0.0317244666083808,-0.0290984714617633
243,"BF",0.625666056273359,0.877808685047306,0.131372903342628,1999,0.88100757852823,0.666523702514043,0.222354795305085,2013,0.0291508225165624,-0.0171925668129478,0.0494676330003762
244,"BF",0.904442136831757,0.956196597894807,0.493981745104827,1999,0.940612832238904,0.830146584882666,0.554349322525107,2013,0.00285659081471028,-0.00941602634628971,0.00872900640249216
245,"BF",0.450986143764087,0.521320878744394,0.0684373777808274,1999,0.396300363862841,0.212861527828134,0.0489020691888943,2013,-0.00866130188214083,-0.0422634344375369,-0.0203891386605551
246,"BF",0.73108244468299,0.838528099180166,0.202980633334294,1999,0.748828324159144,0.454060131986326,0.122539929676782,2013,0.00173381651952386,-0.0327502413855333,-0.0283069594009115
