"OBJECTID","P20HC","ExtremeHC","NP20HC","weights","DHSCC","RequestYear","DHSREGEN","CNTRYNAMEE"
12,0,0,0.255326132770676,3575.421055,"AL",2013,"Central","Albania"
13,0.00325938866115796,0.00051796854728033,0.461930030900408,686.250163,"AL",2013,"Mountain","Albania"
11,0,0,0.154979285804122,2363.636044,"AL",2013,"Coastal","Albania"
14,0,0,0.000490432036072389,1373.692888,"AL",2013,"Tirana","Albania"
4333,0,0,0.0102847395160614,2479.874377,"AM",2013,"Yerevan","Armenia"
4332,0,0,0.34547107986892,386.644807,"AM",2013,"Aragatsotn","Armenia"
4334,0.000932593012835983,0,0.413746211398184,681.73897,"AM",2013,"Ararat","Armenia"
4335,0,0,0.408798524350878,632.706506,"AM",2013,"Armavir","Armenia"
4336,0.00759831031390087,0.00214952833153347,0.287357650869017,601.311451,"AM",2013,"Gegharkunik","Armenia"
4337,0,0,0.295082440851122,645.405394,"AM",2013,"Lori","Armenia"
4338,0,0,0.149988731195433,799.01998,"AM",2013,"Kotayk","Armenia"
4339,0,0,0.184862312014892,685.255543,"AM",2013,"Shirak","Armenia"
4340,0,0,0.220923237332861,448.244287,"AM",2013,"Syunik","Armenia"
4341,0,0,0.284196151945784,167.155701,"AM",2013,"Vayots Dzor","Armenia"
4342,0,0,0.333706477642741,365.643166,"AM",2013,"Tavush","Armenia"
4294,0.00322359562836106,0.00107261161957054,0.278216709696858,1355.027275,"AO",2013,"Benguela        ","Angola"
4286,0,0,0.122945609355629,285.134184,"AO",2013,"Lunda Sul       ","Angola"
4284,0,0,0.0010820075613536,4930.655007,"AO",2013,"Luanda          ","Angola"
4281,0,0,0.227493494056055,352.897292,"AO",2013,"Cuando Cubango  ","Angola"
4288,0.0271135888318318,0.0241473347868767,0.237890009114574,203.181181,"AO",2013,"Namibe          ","Angola"
4293,0,0,0.00540637324744281,397.619051,"AO",2013,"Cabinda         ","Angola"
4283,0,0,0.306165844209375,1363.556719,"AO",2013,"Cuanza Sul      ","Angola"
4292,0,0,0.182775652097322,660.678376,"AO",2013,"Malanje         ","Angola"
4280,0.0128555118463436,0.009367605282145,0.502624146832085,1336.999118,"AO",2013,"Huíla           ","Angola"
4285,0,0,0.267498640930528,493.175672,"AO",2013,"Lunda Norte     ","Angola"
4279,0,0,0.226234082597649,1150.485148,"AO",2013,"Huambo          ","Angola"
4287,0,0,0.240842721001791,442.021451,"AO",2013,"Moxico          ","Angola"
4290,0,0,0.0518069912180941,343.065281,"AO",2013,"Zaire           ","Angola"
4277,0,0,0.318334678361755,844.895405,"AO",2013,"Bié             ","Angola"
4291,0.000677015447010535,0.000677015447010535,0.148699992011626,223.161821,"AO",2013,"Bengo           ","Angola"
4282,0,0,0.09816585492678,273.610636,"AO",2013,"Cuanza Norte    ","Angola"
4278,0.0718718819598098,0.0488394861077769,0.680577527064462,547.835105,"AO",2013,"Cunene          ","Angola"
4289,0,0,0.269594335074269,905.001238,"AO",2013,"Uíge            ","Angola"
3952,0.00204583577930661,0.000669987655627176,0.207856631629732,1071.424218,"BD",2013,"Barisal","Bangladesh"
3953,0.000400654380773808,0,0.136633286853813,3097.699812,"BD",2013,"Chittagong","Bangladesh"
3954,0.00200887807499074,0.00128665487959011,0.165462178189547,6046.510314,"BD",2013,"Dhaka","Bangladesh"
3956,0.00416197971032441,0.00160884438063184,0.182070998021486,1785.63821,"BD",2013,"Khulna","Bangladesh"
3955,0.00564047045098076,0.00194913321818899,0.240585050514751,2144.844673,"BD",2013,"Rajshahi","Bangladesh"
3957,0.00867155353024566,0.0042013265885514,0.320497961164107,2023.366625,"BD",2013,"Rangpur","Bangladesh"
3958,0.00898188163222071,0.00402476728892742,0.286330165617151,1130.516791,"BD",2013,"Sylhet","Bangladesh"
237,0,0,0.211184122913282,639.872653,"BF",2013,"Boucle du Mouhoun","Burkina Faso"
238,0,0,0.057596543004316,202.642544,"BF",2013,"Cascades","Burkina Faso"
239,0,0,0.00889451959310333,908.393974,"BF",2013,"Centre","Burkina Faso"
240,0.00378121705830435,0.00181424073271044,0.139507733267995,465.071688,"BF",2013,"Centre-Est","Burkina Faso"
249,0,0,0.250845957142171,380.72437,"BF",2013,"Sud-Ouest","Burkina Faso"
241,0.00900676895047406,0.00750564079206172,0.257760626662419,492.043931,"BF",2013,"Centre-Nord","Burkina Faso"
242,0,0,0.135760239749553,462.171289,"BF",2013,"Centre-Ouest","Burkina Faso"
243,0,0,0.222354795305085,239.938936,"BF",2013,"Centre-Sud","Burkina Faso"
244,0.0391847249807285,0.0311811928678302,0.554349322525107,494.224293,"BF",2013,"Est","Burkina Faso"
245,0,0,0.0489020691888943,901.472652,"BF",2013,"Hauts-Bassins","Burkina Faso"
246,0,0,0.122539929676782,544.390332,"BF",2013,"Nord","Burkina Faso"
247,0,0,0.181230804170394,264.649932,"BF",2013,"Plateau Central","Burkina Faso"
248,0.0338275259532872,0.0192592963222246,0.659638400639479,452.403289,"BF",2013,"Sahel","Burkina Faso"
3560,0.0245026965835215,0.0185483533454463,0.405268718499079,856.83606,"BJ",2013,"Alibori","Benin"
3561,0.0369291863072907,0.0293658906207035,0.499425445674254,1250.597146,"BJ",2013,"Atacora","Benin"
3562,0.000797442845170916,0.000265737003633833,0.160183139315039,2311.996416,"BJ",2013,"Atlantique","Benin"
3568,0,0,0.238928795135251,1139.478395,"BJ",2013,"Mono","Benin"
3563,0.0212632830426056,0.0180336664772045,0.242428362756426,1277.691923,"BJ",2013,"Borgou","Benin"
3564,0.00726419627277064,0.00565413778025486,0.173921709018435,1279.560966,"BJ",2013,"Collines","Benin"
3565,0.00324684378677453,0.00149607604397238,0.269965719984418,1190.117312,"BJ",2013,"Couffo","Benin"
3566,0.00530124791822199,0.00530124791822199,0.160511265312567,622.898429,"BJ",2013,"Donga","Benin"
3567,0,0,0.0013415038321132,2496.755447,"BJ",2013,"Littoral","Benin"
3569,0,0,0.136414083557856,2168.988995,"BJ",2013,"Oueme","Benin"
3570,0.00172949877223761,0.000488426655409073,0.216713400459992,1100.398584,"BJ",2013,"Plateau","Benin"
3571,0.000297149348038264,0.000297149348038264,0.219042910271363,1726.680551,"BJ",2013,"Zou","Benin"
175,0.00405286567633163,0.00231822724958142,0.28312409073844,1223.769154,"BO",2013,"Chuquisaca","Bolivia"
176,0.000256077513007974,0,0.195224612425161,6045.505448,"BO",2013,"La Paz","Bolivia"
177,0.000990033254693946,0.000990033254693946,0.193475794429436,3584.85332,"BO",2013,"Cochabamba","Bolivia"
181,0.000143606790500441,0.000143606790500441,0.0867251153604925,3915.030745,"BO",2013,"Santa Cruz","Bolivia"
178,0,0,0.232408393305821,1184.556909,"BO",2013,"Oruro","Bolivia"
179,0.00317415266117469,0.00260251224389027,0.395716388978217,2037.562364,"BO",2013,"Potosi","Bolivia"
180,0,0,0.152185834826023,901.49927,"BO",2013,"Tarija","Bolivia"
182,0,0,0.194436898798517,562.152743,"BO",2013,"Beni","Bolivia"
183,0,0,0.218644341807759,109.070163,"BO",2013,"Pando","Bolivia"
5163,0.00580798409692278,0.00580798409692278,0.283449177487152,469.551389,"BU",2013,"Cankuzo ","Burundi"
5166,0.00377978875448942,0.00377978875448942,0.2591593459236,830.824473,"BU",2013,"Karusi ","Burundi"
5176,0.021635081040082,0.0154361596389898,0.313484284718277,794.274307,"BU",2013,"Ruyigi ","Burundi"
5161,0.000377935471333032,0.000377935471333032,0.00510746674590804,987.938493,"BU",2013,"Bujumbura Mairie ","Burundi"
5175,0.00614847529013324,0.00498507881009334,0.153804621861006,657.130233,"BU",2013,"Rutana ","Burundi"
5165,0.00186408660859359,0.00186408660859359,0.173593853518281,1329.79229,"BU",2013,"Gitega ","Burundi"
5173,0.0107700761989807,0.0107700761989807,0.356290482689063,1422.408135,"BU",2013,"Ngozi ","Burundi"
5164,0.00604840508604654,0.00513721156628345,0.126340013107897,944.223133,"BU",2013,"Cibitoke ","Burundi"
5170,0.00206507908028353,0.00168472707382662,0.107876647586442,591.094555,"BU",2013,"Muramvya ","Burundi"
5172,0.00117089046613998,0.00117089046613998,0.142348557472048,533.691253,"BU",2013,"Mwaro ","Burundi"
5168,0.0294864134192279,0.025319888733247,0.368863289145525,1238.343317,"BU",2013,"Kirundo ","Burundi"
5167,0.00212565504878048,0.00212565504878048,0.232704243730698,1158.00727,"BU",2013,"Kayanza ","Burundi"
5159,0.0116463014975362,0.0116463014975362,0.180057870501814,757.522721,"BU",2013,"Bubanza ","Burundi"
5171,0.0216875986681398,0.0193609236401757,0.334021706142307,1218.099634,"BU",2013,"Muyinga ","Burundi"
5160,0.00327597040880759,0.00327597040880759,0.087769541048888,931.976367,"BU",2013,"Bujumbura Rural","Burundi"
5169,0,0,0.0579309628021205,818.996711,"BU",2013,"Makamba ","Burundi"
5162,0,0,0.0858968733795997,526.050556,"BU",2013,"Bururi ","Burundi"
5174,0,0,0.0656561624591451,767.075414,"BU",2013,"Rumonge ","Burundi"
3507,0.0195268761118268,0.0176372172817391,0.388147294540162,1967.453564,"CD",2013,"Equateur","Congo Democratic Republic"
3511,0,0,0,1520.021285,"CD",2013,"Kinshasa","Congo Democratic Republic"
3505,0.00982355724680231,0.00841704775533883,0.222693028663314,2723.089338,"CD",2013,"Bandundu","Congo Democratic Republic"
3515,0.00374589072244618,0.00366007280274632,0.0794947325502559,1346.944792,"CD",2013,"Sud-Kivu","Congo Democratic Republic"
3514,0.0100308358826378,0.0088709932752465,0.266193808973611,1650.91107,"CD",2013,"Orientale","Congo Democratic Republic"
3508,0.0167708182255619,0.0150960642384206,0.294288341577116,1105.232777,"CD",2013,"Kasai-Occidental","Congo Democratic Republic"
3506,0.007088910469666,0.0066619683015362,0.19336221591158,2510.058926,"CD",2013,"Bas-Congo","Congo Democratic Republic"
3513,0.00278412230054383,0.00163543902626466,0.139329307300476,1317.404052,"CD",2013,"Nord-Kivu","Congo Democratic Republic"
3510,0.00389264776477924,0.00307973218736138,0.159649901118049,1740.771169,"CD",2013,"Katanga","Congo Democratic Republic"
3509,0.00990659272624744,0.00887936508606526,0.198118327008988,1674.438978,"CD",2013,"Kasai-Oriental","Congo Democratic Republic"
3512,0.0071238460942974,0.0071238460942974,0.182764250125999,614.674144,"CD",2013,"Maniema","Congo Democratic Republic"
2861,0.00055822660080001,0.00055822660080001,0.143050961994572,1661.789314,"CI",2013,"South","Cote d'Ivoire"
2860,0.0147403983631847,0.00854895986746431,0.388284998288092,1071.345537,"CI",2013,"West","Cote d'Ivoire"
2858,0.00896574522345442,0.00529181167056443,0.247575703814639,438.815503,"CI",2013,"Northeast","Cote d'Ivoire"
2855,0.00159431487840648,0.00159431487840648,0.128845390323378,640.807543,"CI",2013,"North Central","Cote d'Ivoire"
2853,0.00833538968710024,0.00508601435987357,0.278095411742521,660.967658,"CI",2013,"Central","Cote d'Ivoire"
2863,0,0,0,1794.68836,"CI",2013,"Abidjan","Cote d'Ivoire"
2862,0.00102170675097553,0,0.254987618696083,895.244158,"CI",2013,"Southwest","Cote d'Ivoire"
2856,0.00130553809388196,0.00130553809388196,0.221019541251069,1421.126667,"CI",2013,"West Central","Cote d'Ivoire"
2854,0.00226567812462569,0,0.162080585037904,274.187226,"CI",2013,"East Central","Cote d'Ivoire"
2857,0.0232061373401103,0.0170820840328963,0.399638556646199,511.469911,"CI",2013,"North","Cote d'Ivoire"
2859,0.0125264355452228,0.00758273079133032,0.363823270013263,315.558084,"CI",2013,"Northwest","Cote d'Ivoire"
341,0.0196259577949122,0.0140329183224761,0.595217056840855,2378.13698,"CM",2013,"Far North","Cameroon"
339,0,0,0,1482.614078,"CM",2013,"Douala","Cameroon"
344,0,0,0.122880710705761,1258.446644,"CM",2013,"Northwest","Cameroon"
347,0,0,0.0607726225472807,1546.527401,"CM",2013,"West","Cameroon"
346,0,0,0.0263827837830635,1223.383562,"CM",2013,"Southwest","Cameroon"
343,0.00335688846730318,0.00264190382256703,0.556599287455862,1368.240573,"CM",2013,"North","Cameroon"
345,0,0,0.0296270100512538,430.332186,"CM",2013,"South","Cameroon"
342,0,0,0.0341205224431742,642.21798,"CM",2013,"Littoral","Cameroon"
338,0,0,0.033665547950648,1235.362961,"CM",2013,"Centre","Cameroon"
340,0,0,0.269056016567119,642.035113,"CM",2013,"East","Cameroon"
348,0,0,0,1354.082648,"CM",2013,"Yaounde","Cameroon"
337,0.000382803073479104,0.000382803073479104,0.207852850673235,652.620152,"CM",2013,"Adamawa","Cameroon"
4151,0.0259938823689282,0.0196614408956593,0.450699648160909,478.123961,"CO",2013,"La Guajira","Colombia"
4167,0.000474581265066154,0.000361489919512739,0.174479584715423,1701.350347,"CO",2013,"Guainia","Colombia"
4146,0,0,0.261998927338014,976.667407,"CO",2013,"Cesar","Colombia"
4152,0.00164337783906432,0,0.364186687859178,1042.000786,"CO",2013,"Magdalena","Colombia"
4139,0,0,0.11340850725509,2173.732985,"CO",2013,"Atlantico","Colombia"
4165,0,0,0.288737700821229,77.337379,"CO",2013,"San Andres","Colombia"
4141,0.000658157455233057,0,0.351187058332546,1862.362859,"CO",2013,"Bolivar","Colombia"
4159,0.000794707898887502,0,0.381825491017155,763.006132,"CO",2013,"Sucre","Colombia"
4147,0.00203091063616475,0.00103267662260684,0.600566246952076,1258.20898,"CO",2013,"Cordoba","Colombia"
4155,0,0,0.247318902340391,1334.274877,"CO",2013,"Norte de Santander","Colombia"
4158,0.00223773541513488,0.0017901883321079,0.259842021369379,2631.11535,"CO",2013,"Santander","Colombia"
4142,0,0,0.350939117699122,1707.7689,"CO",2013,"Boyaca","Colombia"
4148,0.00097610757069483,0,0.204371099065496,2915.337495,"CO",2013,"Cundinamarca","Colombia"
4153,0.00015201560996856,7.600780498428e-05,0.193874826436223,837.124556,"CO",2013,"Meta","Colombia"
4138,0.000401181464520074,0.000200590732260037,0.150872267679821,7065.765123,"CO",2013,"Antioquia","Colombia"
4143,0,0,0.16308328320101,1129.623824,"CO",2013,"Caldas","Colombia"
4157,0,0,0.144655143038411,1061.837967,"CO",2013,"Risaralda","Colombia"
4156,0,0,0.0729649923508884,730.219442,"CO",2013,"Quindio","Colombia"
4160,0,0,0.264433359190975,1596.977266,"CO",2013,"Tolima","Colombia"
4150,0,0,0.279194122356848,1091.124152,"CO",2013,"Huila","Colombia"
4144,0.00755234565160064,0.00539453260828617,0.306709773502457,328.038614,"CO",2013,"Caqueta","Colombia"
4161,0,0,0.080712677849762,5117.423421,"CO",2013,"Valle","Colombia"
4145,0.000853756964052574,0.000853756964052574,0.482031075459762,1414.824184,"CO",2013,"Cauca","Colombia"
4154,0.00296797767794283,0.00193211274338042,0.434769756159909,1667.331273,"CO",2013,"Narino","Colombia"
4149,0.00912855502544924,0.00369186173465843,0.684523768580247,449.370025,"CO",2013,"Choco","Colombia"
4162,0,0,0.13252024350352,186.713851,"CO",2013,"Arauca","Colombia"
4163,0,0,0.163746684103469,370.649759,"CO",2013,"Casanare","Colombia"
4170,0,0,0.709032474827707,57.514824,"CO",2013,"Vichada","Colombia"
4166,0.0430636588732098,0.0364662981403749,0.653190746397931,85.48282,"CO",2013,"Amazonas","Colombia"
4164,0,0,0.434787004135212,366.466786,"CO",2013,"Putumayo","Colombia"
4168,0,0,0.254458387096787,51.408838,"CO",2013,"Guaviare","Colombia"
4169,0.0784479369656738,0.0656625758380112,0.519939492037212,15.38971,"CO",2013,"Vaupes","Colombia"
4140,0,0,0.00292226767971946,8902.425394,"CO",2013,"Bogota","Colombia"
3551,0,0,0.128830340491023,4248.745846,"DR",2013,"Region 0","Dominican Republic"
3557,0.00125117904951397,0.000829137521580347,0.386843667849091,569.735403,"DR",2013,"Region VI","Dominican Republic"
3555,0.00288697619480829,0.00155955725700191,0.430563648413501,387.824812,"DR",2013,"Region IV","Dominican Republic"
3558,0.0049649497771867,0.0027206374765255,0.346848923065983,598.265669,"DR",2013,"Region VII","Dominican Republic"
3554,0,0,0.200307017941164,760.388136,"DR",2013,"Region III","Dominican Republic"
3556,0.000925709408215633,0,0.257825753191318,1276.031106,"DR",2013,"Region V","Dominican Republic"
3553,0,0,0.161081029023118,1819.302644,"DR",2013,"Region II","Dominican Republic"
3559,0,0,0.178746538283887,854.755966,"DR",2013,"Region VIII","Dominican Republic"
3552,0.000271532626827366,0,0.234106926507401,948.950419,"DR",2013,"Region I","Dominican Republic"
3951,0.000885834570632429,0.000260103827497798,0.00421997840191669,4516.869326,"EG",2013,"Urban Governorates","Egypt"
3947,0.00332561999236717,0.000300892351258998,0.156302570537263,495.187064,"EG",2013,"Frontier Governorates","Egypt"
3948,0.000231539546879744,0,0.188002325923935,13147.974249,"EG",2013,"Lower Egypt","Egypt"
3950,0.00149686411373129,0.000374063931120537,0.306089613896553,10014.969871,"EG",2013,"Upper Egypt","Egypt"
4418,0,0,0.181594783935575,5894.915073,"ET",2013,"Oromiya","Ethiopia"
4422,0.0252576213705776,0.0141358809986219,0.44432690386644,363.067997,"ET",2013,"Gambela","Ethiopia"
4417,0.000750857081632085,0.000750857081632085,0.159774236837582,4239.366023,"ET",2013,"Amhara","Ethiopia"
